Player,Role,Amount,Team,Year,Player Origin,Mega?
Rajat Bhatia,All-Rounder,1.7,Rajasthan Royals,2014,Indian,1
Rajat Bhatia,All-Rounder,0.6,Rising Pune Supergiant,2016,Indian,0
Rajat Patidar,Batsman,0.2,Royal Challengers Bangalore,2021,Indian,0
Rajvardhan Hangargekar,All-Rounder,1.5,Chennai Super Kings,2022,Indian,1
Ramandeep Singh,All-Rounder,0.2,Mumbai Indians,2022,Indian,1
Ramesh Kumar,Batsman,0.2,Kolkata Knight Riders,2022,Indian,1
Ranganath Vinay Kumar,Bowler,2.8,Kolkata Knight Riders,2014,Indian,1
Ranganath Vinay Kumar,Bowler,1,Kolkata Knight Riders,2018,Indian,1
Rashid Khan Arman,Bowler,4,Sunrisers Hyderabad,2017,Overseas,0
Rashid Khan Arman,Bowler,9,Sunrisers Hyderabad,2018,Overseas,1
Rasikh Dar,Bowler,0.2,Mumbai Indians,2019,Indian,0
Rasikh Dar,Bowler,0.2,Kolkata Knight Riders,2022,Indian,1
Rassie Van Der Dussen,Batsman,1,Rajasthan Royals,2022,Overseas,1
Ravi Bishnoi,Bowler,2,Kings XI Punjab,2020,Indian,0
Ravi Bopara,All-Rounder,1,Sunrisers Hyderabad,2015,Indian,0
Ravi Rampaul,Bowler,2.175,Royal Challengers Bangalore,2013,Overseas,0
Ravi Rampaul,Bowler,0.9,Royal Challengers Bangalore,2014,Overseas,1
Ravichandran Ashwin,All-Rounder,7.6,Kings XI Punjab,2018,Overseas,1
Ricky Bhui,Batsman,0.1,Sunrisers Hyderabad,2014,Overseas,1
Ricky Bhui,Batsman,0.2,Sunrisers Hyderabad,2018,Overseas,1
Ricky Ponting,Batsman,3,Mumbai Indians,2013,Overseas,0
Riley Meredith,Bowler,8,Punjab Kings,2021,Overseas,0
Riley Meredith,Bowler,1,Mumbai Indians,2022,Overseas,1
Rinku Singh,Batsman,0.1,Kings XI Punjab,2017,Indian,0
Rinku Singh,Batsman,0.8,Kolkata Knight Riders,2018,Indian,1
Rinku Singh,Batsman,0.55,Kolkata Knight Riders,2022,Indian,1
Ripal Patel,All-Rounder,0.2,Delhi Capitals,2021,Indian,0
Ripal Patel,All-Rounder,0.2,Delhi Capitals,2022,Indian,1
Rishabh Pant,Wicket Keeper,1.9,Delhi Daredevils,2016,Indian,0
Rishi Dhawan,All-Rounder,3,Kings XI Punjab,2014,Indian,1
Rishi Dhawan,All-Rounder,0.55,Kolkata Knight Riders,2017,Indian,0
Rishi Dhawan,All-Rounder,0.55,Punjab Kings,2022,Indian,1
Riyan Parag,All-Rounder,0.2,Rajasthan Royals,2019,Indian,0
Riyan Parag,All-Rounder,3.8,Rajasthan Royals,2022,Indian,1
Robin Uthappa,Batsman,5,Kolkata Knight Riders,2014,Indian,1
Robin Uthappa,Batsman,6.4,Kolkata Knight Riders,2018,Indian,1
Robin Uthappa,Batsman,3,Rajasthan Royals,2020,Indian,0
Robin Uthappa,Batsman,2,Chennai Super Kings,2022,Indian,1
Romario Shepherd,All-Rounder,7.75,Sunrisers Hyderabad,2022,Overseas,1
Ronit More,Bowler,0.1,Chennai Super Kings,2014,Indian,1
Ross Taylor,Batsman,2,Delhi Daredevils,2014,Overseas,1
Rovman Powell,All-Rounder,0.3,Kolkata Knight Riders,2017,Overseas,0
Rovman Powell,Batsman,2.8,Delhi Capitals,2022,Overseas,1
Rudra Pratap Singh,Bowler,3,Royal Challengers Bangalore,2013,Indian,0
Rudra Pratap Singh,Bowler,0.3,Rising Pune Supergiant,2016,Indian,0
Ruturaj Gaikwad,Batsman,0.2,Chennai Super Kings,2019,Indian,0
Ryan McLaren,Bowler,0.375,Kolkata Knight Riders,2013,Overseas,0
Ryan Ten Doeschate,All-Rounder,1,Kolkata Knight Riders,2014,Overseas,1
Sachin Baby,Batsman,0.1,Royal Challengers Bangalore,2016,Indian,0
Sachin Baby,Batsman,0.2,Sunrisers Hyderabad,2018,Indian,1
Sachin Baby,Batsman,0.2,Royal Challengers Bangalore,2021,Indian,0
Sachin Rana,Bowler,0.2,Royal Challengers Bangalore,2014,Indian,1
Sachithra Senanayaka,All-Rounder,4.6875,Kolkata Knight Riders,2013,Overseas,0
Sagar Trivedi,All-Rounder,0.1,Rajasthan Royals,2015,Indian,0
Sam Billings,Wicket Keeper,0.3,Delhi Daredevils,2016,Overseas,0
Sam Billings,Wicket Keeper,1,Chennai Super Kings,2018,Overseas,1
Sam Billings,Wicket Keeper,2,Delhi Capitals,2021,Overseas,0
Sam Billings,Wicket Keeper,2,Kolkata Knight Riders,2022,Overseas,1
Sam Curran,All-Rounder,7.2,Kings XI Punjab,2019,Overseas,0
Sam Curran,All-Rounder,5.5,Chennai Super Kings,2020,Overseas,0
Samuel Badree,Bowler,0.3,Chennai Super Kings,2014,Overseas,1
Samuel Badree,Bowler,0.5,Royal Challengers Bangalore,2016,Overseas,0
Sandeep Bavanaka,All-Rounder,0.2,Sunrisers Hyderabad,2020,Overseas,0
Sandeep Lamichhane,Bowler,0.2,Delhi Daredevils,2018,Overseas,1
Sandeep Sharma,Bowler,0.85,Kings XI Punjab,2014,Indian,1
Sandeep Sharma,Bowler,3,Sunrisers Hyderabad,2018,Indian,1
Sandeep Sharma,Bowler,0.5,Punjab Kings,2022,Indian,1
Sandeep Warrier,Bowler,0.1,Royal Challengers Bangalore,2014,Indian,1
Sanjay Yadav,All-Rounder,0.2,Sunrisers Hyderabad,2020,Indian,0
Sanjay Yadav,All-Rounder,0.5,Mumbai Indians,2022,Indian,1
Sanju Samson,Wicket Keeper,4.2,Delhi Daredevils,2016,Indian,0
Sanju Samson,Wicket Keeper,8,Rajasthan Royals,2018,Indian,1
Sarabjit Ladda,Bowler,0.1,Gujarat Lions,2016,Indian,0
Sarfaraz Khan,All-Rounder,0.2,Delhi Capitals,2022,Indian,1
Sarfaraz Naushad Khan,Batsman,0.5,Royal Challengers Bangalore,2015,Indian,0
Sarfaraz Naushad Khan,All-Rounder,0.25,Kings XI Punjab,2019,Indian,0
Saurabh Dubey,Bowler,0.2,Sunrisers Hyderabad,2022,Indian,1
Saurabh Kumar,Bowler,0.1,Rising Pune Supergiant,2017,Indian,0
Saurabh Kumar,All-Rounder,0.2,Punjab Kings,2021,Indian,0
Saurabh Tiwary,Batsman,0.7,Delhi Daredevils,2014,Indian,1
Saurabh Tiwary,Batsman,0.3,Mumbai Indians,2017,Indian,0
Saurabh Tiwary,Batsman,0.8,Mumbai Indians,2018,Indian,1
Saurabh Tiwary,Batsman,0.5,Mumbai Indians,2020,Indian,0
Sayan Ghosh,Bowler,0.1,Kolkata Knight Riders,2017,Indian,0
Sayan Ghosh,Bowler,0.2,Delhi Daredevils,2018,Indian,1
Sayan Sekhar Mandal,All-Rounder,0.1,Kolkata Knight Riders,2014,Indian,1
Scott Boland,Bowler,0.5,Rising Pune Supergiant,2016,Overseas,0
Sean Abbott,Bowler,1,Royal Challengers Bangalore,2015,Overseas,0
Sean Abbott,Bowler,2.4,Sunrisers Hyderabad,2022,Overseas,1
Shadab Jakati,Bowler,0.2,Royal Challengers Bangalore,2014,Indian,1
Shadab Jakati,All-Rounder,0.2,Gujarat Lions,2016,Indian,0
Shahbaz Ahamad,Wicket Keeper,0.2,Royal Challengers Bangalore,2020,Indian,0
Shahbaz Ahamad,All-Rounder,2.4,Royal Challengers Bangalore,2022,Indian,1
Shahbaz Nadeem,Bowler,0.85,Delhi Daredevils,2014,Indian,1
Shahbaz Nadeem,Bowler,3.2,Delhi Daredevils,2018,Indian,1
Shahbaz Nadeem,Bowler,0.5,Lucknow Super Giants,2022,Indian,1
Shahrukh Khan,All-Rounder,5.25,Punjab Kings,2021,Indian,0
Shahrukh Khan,All-Rounder,9,Punjab Kings,2022,Indian,1
Shakib Al Hasan,All-Rounder,2.8,Kolkata Knight Riders,2014,Overseas,1
Shakib Al Hasan,All-Rounder,2,Sunrisers Hyderabad,2018,Overseas,1
Shakib Al Hasan,All-Rounder,3.2,Kolkata Knight Riders,2021,Overseas,0
Shane Watson,All-Rounder,9.5,Royal Challengers Bangalore,2016,Overseas,0
Shane Watson,All-Rounder,4,Chennai Super Kings,2018,Overseas,1
Sharad Lumba,Batsman,0.2,Mumbai Indians,2018,Indian,1
Shardul Thakur,Bowler,0.2,Kings XI Punjab,2014,Indian,1
Shardul Thakur,Bowler,2.6,Chennai Super Kings,2018,Indian,1
Shardul Thakur,Bowler,10.75,Delhi Capitals,2022,Indian,1
Shashank Singh,All-Rounder,0.1,Delhi Daredevils,2017,Indian,0
Shashank Singh,All-Rounder,0.3,Rajasthan Royals,2019,Indian,0
Shashank Singh,All-Rounder,0.2,Sunrisers Hyderabad,2022,Indian,1
Shaun Marsh,Batsman,2.2,Kings XI Punjab,2014,Overseas,1
Sheldon Cottrell,Bowler,8.5,Kings XI Punjab,2020,Overseas,0
Sheldon Jackson,Batsman,0.15,Kolkata Knight Riders,2015,Indian,0
Sheldon Jackson,Wicket Keeper,0.2,Kolkata Knight Riders,2021,Indian,0
Sheldon Jackson,Wicket Keeper,0.6,Kolkata Knight Riders,2022,Indian,1
Shelley Shaurya,Bowler,0.1,Gujarat Lions,2017,Indian,0
Sherfane Rutherford,All-Rounder,2,Delhi Capitals,2019,Overseas,0
Sherfane Rutherford,All-Rounder,1,Royal Challengers Bangalore,2022,Overseas,1
Shikhar Dhawan,Batsman,5.2,Sunrisers Hyderabad,2018,Indian,1
Shikhar Dhawan,Batsman,8.25,Punjab Kings,2022,Indian,1
Shimron Hetmyer,Batsman,4.2,Royal Challengers Bangalore,2019,Overseas,0
Shimron Hetmyer,Batsman,7.75,Delhi Capitals,2020,Overseas,0
Shimron Hetmyer,Batsman,8.5,Rajasthan Royals,2022,Overseas,1
Shishir Bhavane,Batsman,0.1,Royal Challengers Bangalore,2015,Indian,0
Shivam Dube,All-Rounder,5,Royal Challengers Bangalore,2019,Indian,0
Shivam Dube,All-Rounder,4.4,Rajasthan Royals,2021,Indian,0
Shivam Dube,All-Rounder,4,Chennai Super Kings,2022,Indian,1
Shivam Mavi,All-Rounder,3,Kolkata Knight Riders,2018,Indian,1
Shivam Mavi,All-Rounder,7.25,Kolkata Knight Riders,2022,Indian,1
Shivam Sharma,Bowler,0.1,Kings XI Punjab,2014,Indian,1
Shivil Kaushik,Bowler,0.1,Gujarat Lions,2016,Indian,0
Shreevats Goswami,Wicket Keeper,1,Sunrisers Hyderabad,2018,Indian,1
Shreyas Gopal,Bowler,0.1,Mumbai Indians,2014,Indian,1
Shreyas Gopal,All-Rounder,0.2,Rajasthan Royals,2018,Indian,1
Shreyas Gopal,Bowler,0.75,Sunrisers Hyderabad,2022,Indian,1
Shreyas Iyer,Batsman,2.6,Delhi Daredevils,2015,Indian,0
Shreyas Iyer,Batsman,12.25,Kolkata Knight Riders,2022,Indian,1
Shrikant Mundhe,All-Rounder,0.2,Kolkata Knight Riders,2019,Indian,0
Shubam Agrawal,All-Rounder,0.1,Gujarat Lions,2017,Indian,0
Shubham Garhwal,All-Rounder,0.2,Rajasthan Royals,2022,Indian,1
Shubham Ranjane,All-Rounder,0.2,Rajasthan Royals,2019,Indian,0
Shubman Gill,Batsman,1.8,Kolkata Knight Riders,2018,Indian,1
Siddarth Kaul,Bowler,0.45,Delhi Daredevils,2014,Indian,1
Siddarth Kaul,Bowler,0.1,Sunrisers Hyderabad,2015,Indian,0
Siddarth Kaul,Bowler,3.8,Sunrisers Hyderabad,2018,Indian,1
Siddharth Kaul,Bowler,0.75,Royal Challengers Bangalore,2022,Indian,1
Siddhesh Dinesh Lad,All-Rounder,0.1,Mumbai Indians,2015,Indian,0
Siddhesh Dinesh Lad,Batsman,0.2,Mumbai Indians,2018,Indian,1
Simarjeet Singh,Bowler,0.2,Chennai Super Kings,2022,Indian,1
Srikkanth Anirudha,Batsman,0.2,Sunrisers Hyderabad,2014,Indian,1
Steven Smith,All-Rounder,4,Rajasthan Royals,2014,Overseas,1
Steven Smith,Batsman,2.2,Delhi Capitals,2021,Overseas,0
Stuart Binny,All-Rounder,2,Royal Challengers Bangalore,2016,Indian,0
Stuart Binny,All-Rounder,0.5,Rajasthan Royals,2018,Indian,1
Subhranshu Senapati,Batsman,0.2,Chennai Super Kings,2022,Indian,1
Subramaniam Badrinath,Batsman,0.3,Royal Challengers Bangalore,2015,Indian,0
Sudeep Tyagi,Bowler,0.75,Sunrisers Hyderabad,2013,Indian,0
Sumit Narwal,All-Rounder,0.1,Kolkata Knight Riders,2015,Indian,0
Suryakumar Yadav,Batsman,0.7,Kolkata Knight Riders,2014,Indian,1
Suryakumar Yadav,Batsman,3.2,Mumbai Indians,2018,Indian,1
Sushant Marathe,Wicket Keeper,0.1,Mumbai Indians,2014,Indian,1
Suyash Prabhudesai,All-Rounder,0.2,Royal Challengers Bangalore,2021,Indian,0
Suyash Prabhudessai,All-Rounder,0.3,Royal Challengers Bangalore,2022,Indian,1
Swapnil Singh,All-Rounder,0.1,Kings XI Punjab,2016,Indian,0
Syed Khaleel Ahmed,All-Rounder,0.1,Delhi Daredevils,2016,Indian,0
Syed Khaleel Ahmed,Bowler,3,Sunrisers Hyderabad,2018,Indian,1
Syed Khaleel Ahmed,Bowler,5.25,Delhi Capitals,2022,Indian,1
Syed Mehdi Hasan,All-Rounder,0.2,Sunrisers Hyderabad,2018,Indian,1
T Natarajan,Bowler,3,Kings XI Punjab,2017,Indian,0
T Natarajan,Bowler,0.4,Sunrisers Hyderabad,2018,Indian,1
T. Natarajan,Bowler,4,Sunrisers Hyderabad,2022,Indian,1
Tajinder Dhillon,All-Rounder,0.55,Mumbai Indians,2018,Indian,1
Tajinder Dhillon,All-Rounder,0.2,Kings XI Punjab,2020,Indian,0
Tanmay Agarwal,Batsman,0.1,Sunrisers Hyderabad,2017,Indian,0
Tanmay Agarwal,Batsman,0.2,Sunrisers Hyderabad,2018,Indian,1
Tanmay Mishra,Batsman,0.1,Royal Challengers Bangalore,2014,Indian,1
Tejas Baroka,Bowler,0.2,Rajasthan Royals,2022,Indian,1
Tejas Singh Baroka,Bowler,0.1,Gujarat Lions,2017,Indian,0
Thisara Perera,All-Rounder,5.0625,Sunrisers Hyderabad,2013,Overseas,0
Thisara Perera,All-Rounder,1.6,Kings XI Punjab,2014,Overseas,1
Thisara Perera,All-Rounder,1,Rising Pune Supergiant,2016,Overseas,0
Tim David,All-Rounder,8.25,Mumbai Indians,2022,Overseas,1
Tim Seifert,Wicket Keeper,0.5,Delhi Capitals,2022,Overseas,1
Tim Southee,Bowler,1.2,Rajasthan Royals,2014,Overseas,1
Tim Southee,Bowler,2.5,Mumbai Indians,2016,Overseas,0
Tim Southee,Bowler,1,Royal Challengers Bangalore,2018,Overseas,1
Tim Southee,Bowler,1.5,Kolkata Knight Riders,2022,Overseas,1
Tirumalasetti Suman,Batsman,0.1,Sunrisers Hyderabad,2016,Indian,0
Tom Banton,Batsman,1,Kolkata Knight Riders,2020,Overseas,0
Tom Curran,All-Rounder,1,Rajasthan Royals,2020,Overseas,0
Tom Curran,All-Rounder,5.25,Delhi Capitals,2021,Overseas,0
Travis Head,Batsman,0.3,Delhi Daredevils,2015,Overseas,0
Travis Head,Batsman,0.5,Royal Challengers Bangalore,2016,Overseas,0
Trent Boult,Bowler,3.8,Sunrisers Hyderabad,2015,Overseas,0
Trent Boult,Bowler,5,Kolkata Knight Riders,2017,Overseas,0
Trent Boult,Bowler,2.2,Delhi Daredevils,2018,Overseas,1
Trent Boult,Bowler,8,Rajasthan Royals,2022,Overseas,1
Tushar Deshpande,Bowler,0.2,Delhi Capitals,2020,Indian,0
Tushar Deshpande,Bowler,0.2,Chennai Super Kings,2022,Indian,1
Tymal Mills,Bowler,12,Royal Challengers Bangalore,2017,Overseas,0
Tymal Mills,Bowler,1.5,Mumbai Indians,2022,Overseas,1
Umang Sharma,Batsman,0.1,Gujarat Lions,2016,Indian,0
Umesh Yadav,Bowler,2.6,Kolkata Knight Riders,2014,Indian,1
Umesh Yadav,Bowler,4.2,Royal Challengers Bangalore,2018,Indian,1
Umesh Yadav,Bowler,1,Delhi Capitals,2021,Indian,0
Umesh Yadav,Bowler,2,Kolkata Knight Riders,2022,Indian,1
Unmukt Chand,Batsman,0.65,Rajasthan Royals,2014,Indian,1
Utkarsh Singh,All-Rounder,0.2,Punjab Kings,2021,Indian,0
Vaibhav Arora,Bowler,0.2,Kolkata Knight Riders,2021,Indian,0
Vaibhav Arora,Bowler,2,Punjab Kings,2022,Indian,1
Vaibhav Rawal,All-Rounder,0.1,Kolkata Knight Riders,2015,Indian,0
Varun Aaron,Bowler,2,Royal Challengers Bangalore,2014,Indian,1
Varun Aaron,Bowler,2.8,Kings XI Punjab,2017,Indian,0
Varun Aaron,Bowler,2.4,Rajasthan Royals,2019,Indian,0
Varun Aaron,Bowler,0.5,Gujarat Titans,2022,Indian,1
Varun Chakaravarthy,All-Rounder,8.4,Kings XI Punjab,2019,Indian,0
Varun Chakaravarthy,All-Rounder,4,Kolkata Knight Riders,2020,Indian,0
Veer Pratap Singh,Bowler,0.4,Kolkata Knight Riders,2014,Indian,1
Venkatesh Iyer,All-Rounder,0.2,Kolkata Knight Riders,2021,Indian,0
Venugopal Rao,Batsman,0.55,Sunrisers Hyderabad,2014,Indian,1
Vicky Ostwal,All-Rounder,0.2,Delhi Capitals,2022,Indian,1
Vijay Shankar,All-Rounder,0.1,Chennai Super Kings,2014,Indian,1
Vijay Shankar,All-Rounder,0.35,Sunrisers Hyderabad,2016,Indian,0
Vijay Shankar,All-Rounder,3.2,Delhi Daredevils,2018,Indian,1
Vijay Shankar,All-Rounder,1.4,Gujarat Titans,2022,Indian,1
Vijay Zol,Batsman,0.3,Royal Challengers Bangalore,2014,Indian,1
Vikas Tokas,Bowler,0.1,Royal Challengers Bangalore,2016,Indian,0
Vikramjeet Malik,Bowler,0.2,Rajasthan Royals,2014,Indian,1
Vikramjeet Malik,Bowler,0.2,Royal Challengers Bangalore,2016,Indian,0
Virat Singh,Batsman,1.9,Sunrisers Hyderabad,2020,Indian,0
Virender Sehwag,Batsman,3.2,Kings XI Punjab,2014,Indian,1
Vishnu Vinod,Wicket Keeper,0.2,Delhi Capitals,2021,Indian,0
Vishnu Vinod,Wicket Keeper,0.5,Sunrisers Hyderabad,2022,Indian,1
Wanindu Hasaranga,All-Rounder,10.75,Royal Challengers Bangalore,2022,Overseas,1
Washington Sundar,All-Rounder,8.75,Sunrisers Hyderabad,2022,Indian,1
Wayne Parnell,Bowler,1,Delhi Daredevils,2014,Overseas,1
Wriddhiman Saha,Wicket Keeper,2.2,Kings XI Punjab,2014,Indian,1
Wriddhiman Saha,Wicket Keeper,5,Sunrisers Hyderabad,2018,Indian,1
Wriddhiman Saha,Wicket Keeper,1.2,Sunrisers Hyderabad,2019,Indian,0
Wriddhiman Saha,Wicket Keeper,1.9,Gujarat Titans,2022,Indian,1
Writtick Chatterjee,All-Rounder,0.2,Punjab Kings,2022,Indian,1
Yash Dayal,Bowler,3.2,Gujarat Titans,2022,Indian,1
Yash Dhull,All-Rounder,0.5,Delhi Capitals,2022,Indian,1
Yashasvi Jaiswal,All-Rounder,2.4,Rajasthan Royals,2020,Indian,0
Yogesh Gowalkar,All-Rounder,0.1,Kings XI Punjab,2015,Indian,0
Yogesh Takawale,Wicket Keeper,0.1,Royal Challengers Bangalore,2014,Indian,1
Yudhvir Charak,All-Rounder,0.2,Mumbai Indians,2021,Indian,0
Yusuf Pathan,All-Rounder,3.25,Kolkata Knight Riders,2014,Indian,1
Yusuf Pathan,All-Rounder,1.9,Sunrisers Hyderabad,2018,Indian,1
Yuvraj Singh,All-Rounder,14,Royal Challengers Bangalore,2014,Indian,1
Yuvraj Singh,Batsman,16,Delhi Daredevils,2015,Indian,0
Yuvraj Singh,All-Rounder,7,Sunrisers Hyderabad,2016,Indian,0
Yuvraj Singh,All-Rounder,2,Kings XI Punjab,2018,Indian,1
Yuvraj Singh,All-Rounder,1,Mumbai Indians,2019,Indian,0
Yuzvendra Singh Chahal,Bowler,6.5,Rajasthan Royals,2022,Indian,1
Yuzvendra Singh Chahal,Bowler,0.1,Royal Challengers Bangalore,2014,Indian,1
Yuzvendra Singh Chahal,Bowler,6,Royal Challengers Bangalore,2018,Indian,1
Zaheer Khan,Bowler,2.6,Mumbai Indians,2014,Indian,1
Zaheer Khan,Bowler,4,Delhi Daredevils,2015,Indian,0
Zahir Khan Pakteen,Bowler,0.6,Rajasthan Royals,2018,Indian,1
